Feature Name,Theme,Sub Theme,latitude,longitude,final_relevance_tier,final_relevance_reason
Flagstaff Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8111222889277,144.954696055235,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
North Melbourne Primary School,Education Centre,Primary Schools,-37.7986737155551,144.951065772876,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8314918578874,144.908824792698,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
St Mary's Anglican Church,Place of Worship,Church,-37.8031663672997,144.953761537074,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Flagstaff Railway Station,Transport,Railway Station,-37.8122356514626,144.956318211113,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7878473341234,144.922972125346,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7982358832177,144.923837074813,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Royal Childrens Hospital,Health Services,Public Hospital,-37.7942060847278,144.950048264678,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Riverside Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7948375315825,144.915607065132,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Fitzroy Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8129616331579,144.980455714669,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Peter Maccallum Cancer Institute,Health Services,Public Hospital,-37.8114766732026,144.977400949063,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
The Melbourne Athenaeum Library,Place Of Assembly,Library,-37.8148855756416,144.967291289941,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Romanian Orthodox,Place of Worship,Church,-37.8052307297468,144.966986444597,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Michaels,Place of Worship,Church,-37.7940512679297,144.945399480629,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Ukranian Catholic Cathedral,Place of Worship,Church,-37.7963084580345,144.944313454028,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
The Parish of Christ Church South Yarra,Place of Worship,Church,-37.8386270533576,144.986009385387,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Queen Victoria Market,Retail,Retail,-37.8075002018073,144.957158515056,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
State Library Victoria,Community Use,Public Buildings,-37.8099852201226,144.964330322397,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Regent Theatre,Place Of Assembly,Theatre Live,-37.8160014744179,144.967916735261,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Old Treasury Building,Office,Office,-37.8132371662585,144.974423610255,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Supreme Court,Community Use,Public Buildings,-37.8141494182814,144.957894024264,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
Richmond Football Club,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8216740022008,144.988156318781,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Convention Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8249040484653,144.952288281644,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne International Shooting Club,Leisure/Recreation,Private Sports Club/Facility,-37.8292844929826,144.913415802464,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Crown Entertainment Complex,Purpose Built,Casino,-37.8235761092516,144.957312880653,Tier 2 - Supporting/Access Place,"May provide local, community, or cultural context, but the source identifies it as a Casino and does not establish current AgeTogether-suitable activities."
Kensington Primary School,Education Centre,Primary Schools,-37.7925235045455,144.927108735461,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Fox Classic Car Collection,Place Of Assembly,Art Gallery/Museum,-37.8213744301481,144.948496661709,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
ANZ 'Gothic' Bank,Mixed Use,Retail/Office/Carpark,-37.8161580666029,144.961673719242,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Railway Good Shed No 2,Vacant Land,Current Construction Site - Commercial,-37.8211371302179,144.951378883631,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Parliament Railway Station,Transport,Railway Station,-37.8116061787171,144.973017263156,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
North Melbourne Recreation Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7988345257153,144.941452061463,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Princes Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7870161727156,144.961115214367,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Donor Tissue Bank of Victoria,Office,Office,-37.8248231859563,144.965169035668,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Melbourne Central Railway Station,Transport,Railway Station,-37.8100167030855,144.963789344893,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Argyle Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8031480577285,144.965761295089,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Westpac Centre,Leisure/Recreation,Major Sports & Recreation Facility,-37.8242456858593,144.979720306309,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Girls Grammar School,Education Centre,School - Primary and Secondary Education,-37.8315364518803,144.985089428348,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Mercy Private Hospital,Health Services,Medical Services,-37.811896809802,144.984435746587,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Augustines Church,Place of Worship,Church,-37.8169741358546,144.954862000132,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Unitarian Church,Place of Worship,Church,-37.8114487773394,144.984664890999,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Our Lady of Lebanon Church,Place of Worship,Church,-37.8025766539683,144.969334720932,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Alban Anglican Church,Place of Worship,Church,-37.7942169477929,144.94161451392,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Playhouse,Place Of Assembly,Theatre Live,-37.8218124583016,144.968337832721,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Victorian Arts Centre,Place Of Assembly,Art Gallery/Museum,-37.8219947335768,144.968837288153,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
The Royal Victorian Eye & Ear Hospital,Health Services,Public Hospital,-37.8087522829868,144.976268275082,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Central Pier,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8165177307702,144.943475014215,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
NGV International,Community Use,Public Buildings,-37.8230135000869,144.969342535451,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Macaulay Railway Station (North Melbourne) - Train stop,Transport,Railway Station,-37.794964001386,144.936190756632,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Kensington Railway Station,Transport,Railway Station,-37.7939140126373,144.930710207518,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Royal Botanic Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8306631583233,144.980850432751,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Coronial Services Centre of Victoria,Office,Office,-37.8243437355246,144.96447462898,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Darling Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.81299206932,144.989062559512,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Wholesale Fish Market,Warehouse/Store,Store Yard,-37.8083471006041,144.930613255612,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
The Ian Potter Museum Of Art,Place Of Assembly,Art Gallery/Museum,-37.7973939595503,144.964156669702,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
University of Melbourne,Education Centre,Tertiary (University),-37.7982892284927,144.96099520158,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
QV Village,Mixed Use,Retail/Office/Residential/Carpark,-37.8106891897454,144.965714574014,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Parliament Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.809852620638,144.973462202839,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
North Melbourne Football Club,Office,Office,-37.799771364073,144.940963510723,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
North Melbourne Recreation Centre (Gymnasium),Leisure/Recreation,Gymnasium/Health Club,-37.7997051197931,144.940368286395,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Conservatory,Community Use,Public Buildings,-37.814002127195,144.9785597431,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Freshwater Place,Mixed Use,Retail/Office/Residential/Carpark,-37.8219745489446,144.96246144843,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Metropolitan Fire Brigade (MFB),Community Use,Fire Station,-37.8092318636838,144.975247619376,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Koorie Heritage Trust Inc,Place Of Assembly,Art Gallery/Museum,-37.8133854259085,144.954027907736,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
RMIT University,Education Centre,Tertiary (University),-37.8080795360545,144.964452974798,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Macarthur Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7983318676737,144.971514146104,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
North Melbourne Railway Station,Transport,Railway Station,-37.8073823625058,144.942429848025,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Cooks' Cottage,Place Of Assembly,Art Gallery/Museum,-37.8144604899837,144.979471339826,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Royal Exhibition Building,Place Of Assembly,Art Gallery/Museum,-37.80460262432,144.971521914952,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Childrens Court,Community Use,Public Buildings,-37.8125077646598,144.958298873269,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
Eureka Skydeck 88,Leisure/Recreation,Observation Tower/Wheel,-37.8216187583314,144.964622218598,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
County Court Melbourne,Community Use,Public Buildings,-37.8132011619962,144.957734246387,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
Epworth Freemasons Hospital,Health Services,Private Hospital,-37.8109710654051,144.98370007659,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Church of Christ,Place of Worship,Church,-37.8104524079085,144.96388920294,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Holy Trinity,Place of Worship,Church,-37.8140667110854,144.983197322289,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Holy Rosary,Place of Worship,Church,-37.7948087414394,144.928362125005,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Victoria Police,Community Use,Police Station,-37.8219773910249,144.953398014034,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Old Melbourne Gaol Crime & Justice Experience,Place Of Assembly,Art Gallery/Museum,-37.8077644149636,144.965463853978,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Exhibition Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8252455123297,144.95435243249,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
MTC Theatre,Place Of Assembly,Theatre Live,-37.8242661832902,144.968174400274,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Shrine of Rembrance Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8320733992876,144.973628364465,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Icehouse,Leisure/Recreation,Indoor Recreation Facility,-37.8121881194053,144.935684018873,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Parliament Railway Station,Transport,Railway Station,-37.8127621113552,144.973433796529,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Flemington Racecourse Railway Station,Transport,Railway Station,-37.7869105822519,144.908190706069,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Carlton Baths,Leisure/Recreation,Indoor Recreation Facility,-37.7934377042609,144.971696548624,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Dallas Brooks Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8097374138234,144.981383411592,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
St James Church,Place of Worship,Church,-37.8101281201969,144.952468571683,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Michael's Uniting Church,Place of Worship,Church,-37.8143851324913,144.969174036096,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
East Melbourne Synagogue,Place of Worship,Synagogue,-37.809113728917,144.97422190954,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Flemington Racecourse,Leisure/Recreation,Major Sports & Recreation Facility,-37.7908082646624,144.912142987372,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Treasury Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8143993575938,144.975952335785,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Magistrates Court,Community Use,Government Building,-37.8136147671606,144.956846193891,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Cricket Ground (MCG),Leisure/Recreation,Major Sports & Recreation Facility,-37.8194921618419,144.983402879078,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne International Karting Complex,Vacant Land,Vacant Land - Undeveloped Site,-37.8310746380616,144.913822928701,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
St Patricks Cathedral,Place of Worship,Church,-37.8101140950474,144.975901529712,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Parliament House,Office,Office,-37.811246655376,144.97372641185,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Former Royal Mint,Office,Office,-37.8121838748712,144.957055454136,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Queen Victoria Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8216381244891,144.971049530478,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
New Quay,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8152178789077,144.941617889032,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Central City Studios,Purpose Built,Film & RV Studio,-37.8142318521296,144.935655305362,Tier 3 - Not Relevant,Does not directly support the current AgeTogether local discovery purpose based on the available dataset information.
New Quay Marina,Transport,Marina,-37.8152925454954,144.942283726231,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Rod Laver Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.8220456119807,144.978487173787,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.8209085970021,144.978735802793,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Hisense Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.823110002667,144.981834802535,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Museum,Place Of Assembly,Art Gallery/Museum,-37.8035518129299,144.971690718887,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Elisabeth Murdoch Hall,Community Use,Public Buildings,-37.8239733704282,144.967450979234,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Melbourne Recital Centre,Community Use,Public Buildings,-37.8238327885805,144.967682729667,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Hamer Hall,Place Of Assembly,Theatre Live,-37.8199901009015,144.967992144257,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Royal Park Railway Station,Transport,Railway Station,-37.7812684282825,144.951667833921,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Flagstaff Railway Station,Transport,Railway Station,-37.8116384403974,144.9561186805,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Athanaeum Theatre,Place Of Assembly,Theatre Live,-37.814954347831,144.96732254212,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Her Majesty's Theatre,Place Of Assembly,Theatre Live,-37.8109975612842,144.969520183129,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Flinders Street Railway Station,Transport,Railway Station,-37.8179063007545,144.967064817875,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Sandridge Rail Bridge,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8201763042794,144.96298113724,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
The Museum Of Australian Chinese History,Place Of Assembly,Art Gallery/Museum,-37.8107686127655,144.96923385414,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
All Nations Uniting Church,Place of Worship,Church,-37.7959155303946,144.968981110942,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Royal Park Golf Course,Leisure/Recreation,Private Sports Club/Facility,-37.7819171308558,144.956309119368,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Sidney Myer Music Bowl,Community Use,Public Buildings,-37.8233471608733,144.974686151365,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Harbour Town,Vacant Land,Current Construction Site,-37.8139256326845,144.938123825625,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Melbourne Star Observation Wheel,Leisure/Recreation,Observation Tower/Wheel,-37.8116163666726,144.937588920436,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Birrarung Marr,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.81806108403,144.97314667014,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Artplay,Leisure/Recreation,Indoor Recreation Facility,-37.8184198800044,144.971542586509,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Parliament Railway Station,Transport,Railway Station,-37.8095762219384,144.972330132127,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Immigration Museum,Place Of Assembly,Art Gallery/Museum,-37.8191798798062,144.960426777129,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Fire Services Museum Victoria,Place Of Assembly,Art Gallery/Museum,-37.8085761281612,144.975373745366,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
North Melbourne Recreation Centre (Aquatic),Leisure/Recreation,Major Sports & Recreation Facility,-37.7999470049655,144.943290801869,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Eureka Tower,Mixed Use,Retail/Residential,-37.8215157539717,144.964456721965,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Welsh Presbyterian Church,Place of Worship,Church,-37.8104478768313,144.959873260087,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Lutheran Trinity Church,Place of Worship,Church,-37.8109757054396,144.975729473552,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
St Johns Lutheran Church,Place of Worship,Church,-37.8209399677168,144.967121099857,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Victoria Police,Community Use,Police Station,-37.8164849024046,144.966486801188,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
State Netball Hockey Centre,Leisure/Recreation,Major Sports & Recreation Facility,-37.7857860016289,144.947580972027,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
University Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.800410711209,144.960398319302,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne General Cemetery,Community Use,Cemetery,-37.7891890023616,144.965785979892,Tier 2 - Supporting/Access Place,"May have supporting cultural or local relevance, but it is not classified as an activity."
Wesley College,Education Centre,School - Primary and Secondary Education,-37.8485201804496,144.982227770988,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Southern Cross Railway Station,Transport,Railway Station,-37.8181633057171,144.952944748845,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Princess Theatre,Place Of Assembly,Theatre Live,-37.8107257091302,144.9723265962,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
University High School,Education Centre,Secondary Schools,-37.7973136216903,144.956034449946,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Melbourne Zoo,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",-37.7844449253712,144.951371205938,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Malthouse Theatre,Place Of Assembly,Theatre Live,-37.8271768001126,144.966936821789,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Thoroughbred Racing Gallery,Place Of Assembly,Art Gallery/Museum,-37.8188662730911,144.9839700954,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Docklands Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8209956785618,144.946781702342,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Waterfront City,Mixed Use,Retail/Office,-37.815056661803,144.939136876334,Tier 3 - Not Relevant,Outside the current Iteration 1 local discovery purpose.
Point Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8233522700646,144.942102276731,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Melbourne Theatre Company,Community Use,Public Buildings,-37.823930384816,144.968297429894,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Alexandra Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8206051404251,144.971796067365,Tier 1 - Discovery Place,"Supports direct local discovery through recreation, cultural participation, or community participation."
Jolimont-MCG Railway Station (East Melbourne) - Train stop,Transport,Railway Station,-37.8165651811668,144.983641003377,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
Shrine of Remembrance,Community Use,Public Buildings,-37.8302080020387,144.973441913623,Tier 1 - Discovery Place,"Identifiable cultural, recreational, educational, or public destination that can reasonably support local discovery; no live activity is inferred."
Newmarket Railway Station,Transport,Railway Station,-37.7872726241965,144.929059958114,Tier 2 - Supporting/Access Place,"Supports access, attendance planning, or local context; it is not an automatic activity result."
